"nom_estacio";"nom_contaminant";"valor";"month";"data";"longitud";"latitud"
"Badalona (Assemblea de Catalunya)";"PM10";18;"2024-03";2024-03-27;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";18;"2024-03";2024-03-02;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";7;"2024-03";2024-03-10;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";41;"2024-03";2024-03-18;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";16;"2024-03";2024-03-30;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";16;"2024-03";2024-03-01;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";13;"2024-03";2024-03-04;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";7;"2024-03";2024-03-03;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";18;"2024-03";2024-03-05;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";19;"2024-03";2024-03-06;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";31;"2024-03";2024-03-07;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";18;"2024-03";2024-03-08;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";18;"2024-03";2024-03-11;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";16;"2024-03";2024-03-12;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";22;"2024-03";2024-03-13;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";19;"2024-03";2024-03-14;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";53;"2024-03";2024-03-15;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";34;"2024-03";2024-03-16;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";24;"2024-03";2024-03-17;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";53;"2024-03";2024-03-19;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";27;"2024-03";2024-03-20;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";29;"2024-03";2024-03-21;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";33;"2024-03";2024-03-23;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";18;"2024-03";2024-03-24;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";16;"2024-03";2024-03-25;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";9;"2024-03";2024-03-26;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";20;"2024-03";2024-03-28;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";40;"2024-03";2024-03-29;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";13;"2024-03";2024-03-31;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";20;"2024-03";2024-03-09;2,24823024;41,45130205
"Lleida (Irurita - Pius XII)";"PM10";8;"2024-03";2024-03-27;0,61571993;41,61570083
"Lleida (Irurita - Pius XII)";"PM10";17;"2024-03";2024-03-02;0,61571993;41,61570083
"Lleida (Irurita - Pius XII)";"PM10";12;"2024-03";2024-03-10;0,61571993;41,61570083
"Lleida (Irurita - Pius XII)";"PM10";24;"2024-03";2024-03-18;0,61571993;41,61570083
"Lleida (Irurita - Pius XII)";"PM10";5;"2024-03";2024-03-30;0,61571993;41,61570083
"Lleida (Irurita - Pius XII)";"PM10";9;"2024-03";2024-03-01;0,61571993;41,61570083
"Lleida (Irurita - Pius XII)";"PM10";9;"2024-03";2024-03-04;0,61571993;41,61570083
"Lleida (Irurita - Pius XII)";"PM10";5;"2024-03";2024-03-03;0,61571993;41,61570083
"Lleida (Irurita - Pius XII)";"PM10";10;"2024-03";2024-03-05;0,61571993;41,61570083
"Lleida (Irurita - Pius XII)";"PM10";21;"2024-03";2024-03-06;0,61571993;41,61570083
"Lleida (Irurita - Pius XII)";"PM10";17;"2024-03";2024-03-07;0,61571993;41,61570083
"Lleida (Irurita - Pius XII)";"PM10";12;"2024-03";2024-03-08;0,61571993;41,61570083
"Lleida (Irurita - Pius XII)";"PM10";8;"2024-03";2024-03-11;0,61571993;41,61570083
"Lleida (Irurita - Pius XII)";"PM10";16;"2024-03";2024-03-12;0,61571993;41,61570083
"Lleida (Irurita - Pius XII)";"PM10";25;"2024-03";2024-03-13;0,61571993;41,61570083
"Lleida (Irurita - Pius XII)";"PM10";29;"2024-03";2024-03-14;0,61571993;41,61570083
"Lleida (Irurita - Pius XII)";"PM10";21;"2024-03";2024-03-15;0,61571993;41,61570083
"Lleida (Irurita - Pius XII)";"PM10";21;"2024-03";2024-03-16;0,61571993;41,61570083
"Lleida (Irurita - Pius XII)";"PM10";25;"2024-03";2024-03-17;0,61571993;41,61570083
"Lleida (Irurita - Pius XII)";"PM10";27;"2024-03";2024-03-19;0,61571993;41,61570083
"Lleida (Irurita - Pius XII)";"PM10";10;"2024-03";2024-03-25;0,61571993;41,61570083
"Lleida (Irurita - Pius XII)";"PM10";5;"2024-03";2024-03-26;0,61571993;41,61570083
"Lleida (Irurita - Pius XII)";"PM10";12;"2024-03";2024-03-29;0,61571993;41,61570083
"Lleida (Irurita - Pius XII)";"PM10";5;"2024-03";2024-03-31;0,61571993;41,61570083
"Lleida (Irurita - Pius XII)";"PM10";10;"2024-03";2024-03-09;0,61571993;41,61570083
"Tarragona (Universitat Laboral)";"PM10";13;"2024-03";2024-03-27;1,20076026;41,10360261
"Tarragona (Universitat Laboral)";"PM10";19;"2024-03";2024-03-02;1,20076026;41,10360261
"Tarragona (Universitat Laboral)";"PM10";28;"2024-03";2024-03-18;1,20076026;41,10360261
"Tarragona (Universitat Laboral)";"PM10";14;"2024-03";2024-03-01;1,20076026;41,10360261
"Tarragona (Universitat Laboral)";"PM10";13;"2024-03";2024-03-04;1,20076026;41,10360261
"Tarragona (Universitat Laboral)";"PM10";10;"2024-03";2024-03-05;1,20076026;41,10360261
"Tarragona (Universitat Laboral)";"PM10";17;"2024-03";2024-03-06;1,20076026;41,10360261
"Tarragona (Universitat Laboral)";"PM10";16;"2024-03";2024-03-08;1,20076026;41,10360261
"Tarragona (Universitat Laboral)";"PM10";8;"2024-03";2024-03-11;1,20076026;41,10360261
"Tarragona (Universitat Laboral)";"PM10";15;"2024-03";2024-03-13;1,20076026;41,10360261
"Tarragona (Universitat Laboral)";"PM10";24;"2024-03";2024-03-14;1,20076026;41,10360261
"Tarragona (Universitat Laboral)";"PM10";29;"2024-03";2024-03-15;1,20076026;41,10360261
"Tarragona (Universitat Laboral)";"PM10";21;"2024-03";2024-03-19;1,20076026;41,10360261
"Tarragona (Universitat Laboral)";"PM10";21;"2024-03";2024-03-20;1,20076026;41,10360261
"Tarragona (Universitat Laboral)";"PM10";31;"2024-03";2024-03-21;1,20076026;41,10360261
"Tarragona (Universitat Laboral)";"PM10";19;"2024-03";2024-03-23;1,20076026;41,10360261
"Tarragona (Universitat Laboral)";"PM10";9;"2024-03";2024-03-25;1,20076026;41,10360261
"Tarragona (Universitat Laboral)";"PM10";34;"2024-03";2024-03-28;1,20076026;41,10360261
"Tarragona (Universitat Laboral)";"PM10";9;"2024-03";2024-03-09;1,20076026;41,10360261
