"timestamp";"station_id";"station_name";"station_province";"altitude";"mean_temperature";"min_temperature";"max_temperature";"mean_relative_humidity";"min_relative_humidity";"max_relative_humidity";"precipitation";"mean_wind_direction";"mean_wind_speed";"global_solar_radiation";"geometry";"CodiEscola"
2024-01-01;"D5";"Barcelona - Observatori Fabra";"Barcelona";411;9,2;7.3;14.2;73;48;95;0;NA;NA;6.7;c(2.12379, 41.41864);"4"
2024-01-01;"WU";"Badalona - Museu";"Barcelona";42;10,4;7.9;14.3;73;57;83;0;NA;NA;6.5;c(2.24757, 41.45215);"2"
2024-01-01;"X1";"Falset";"Tarragona";359;7,7;4.5;14;64;42;80;0;NA;NA;7.5;c(0.81953, 41.15374);"3"
2024-01-01;"YJ";"Lleida - la Femosa";"Lleida";170;5,9;-0.5;13;75;47;95;0;NA;NA;8.1;c(0.64172, 41.58462);"1"
2024-01-01;"YP";"Palafrugell";"Girona";36;9,6;3.9;14.8;78;57;100;0;NA;NA;6;c(3.16034, 41.90708);"5"
2024-01-02;"D5";"Barcelona - Observatori Fabra";"Barcelona";411;10,1;6.6;13.7;48;35;60;0;NA;NA;5.2;c(2.12379, 41.41864);"4"
2024-01-02;"WU";"Badalona - Museu";"Barcelona";42;12,5;7.7;15.8;45;31;68;0;NA;NA;5.5;c(2.24757, 41.45215);"2"
2024-01-02;"X1";"Falset";"Tarragona";359;8,2;3.5;13.2;55;39;72;0;NA;NA;4.3;c(0.81953, 41.15374);"3"
2024-01-02;"YJ";"Lleida - la Femosa";"Lleida";170;2,5;-2.6;7.5;82;65;97;0;NA;NA;3.7;c(0.64172, 41.58462);"1"
2024-01-02;"YP";"Palafrugell";"Girona";36;10,2;2.2;15.9;64;29;100;0;NA;NA;4.2;c(3.16034, 41.90708);"5"
2024-01-03;"D5";"Barcelona - Observatori Fabra";"Barcelona";411;13,3;11.4;15.4;67;56;76;0;NA;NA;2.8;c(2.12379, 41.41864);"4"
2024-01-03;"WU";"Badalona - Museu";"Barcelona";42;16,1;14.1;18.3;58;47;69;0;NA;NA;2.9;c(2.24757, 41.45215);"2"
2024-01-03;"X1";"Falset";"Tarragona";359;12,4;9.1;15.7;74;56;90;0;NA;NA;2.1;c(0.81953, 41.15374);"3"
2024-01-03;"YJ";"Lleida - la Femosa";"Lleida";170;6,7;1.4;13.3;83;62;99;0,5;NA;NA;5.4;c(0.64172, 41.58462);"1"
2024-01-03;"YP";"Palafrugell";"Girona";36;9,3;5.6;14.8;84;58;99;0;NA;NA;2.4;c(3.16034, 41.90708);"5"
2024-01-04;"D5";"Barcelona - Observatori Fabra";"Barcelona";411;11,9;9.8;17.1;85;62;100;0;NA;NA;5.2;c(2.12379, 41.41864);"4"
2024-01-04;"WU";"Badalona - Museu";"Barcelona";42;13,4;10.8;16.5;79;66;88;0;NA;NA;6.3;c(2.24757, 41.45215);"2"
2024-01-04;"X1";"Falset";"Tarragona";359;11,1;6.5;16.8;79;45;100;2,1;NA;NA;6.8;c(0.81953, 41.15374);"3"
2024-01-04;"YJ";"Lleida - la Femosa";"Lleida";170;7,6;1.3;14.2;89;64;99;0,4;NA;NA;5.4;c(0.64172, 41.58462);"1"
2024-01-04;"YP";"Palafrugell";"Girona";36;11,4;6.4;15.9;91;73;100;0;NA;NA;6.2;c(3.16034, 41.90708);"5"
2024-01-05;"D5";"Barcelona - Observatori Fabra";"Barcelona";411;9,3;5.5;11.6;89;71;100;9,7;NA;NA;2.8;c(2.12379, 41.41864);"4"
2024-01-05;"WU";"Badalona - Museu";"Barcelona";42;11,6;8.8;13.4;82;67;95;15;NA;NA;1.4;c(2.24757, 41.45215);"2"
2024-01-05;"X1";"Falset";"Tarragona";359;7,7;4.6;9.9;92;74;100;0,9;NA;NA;2.5;c(0.81953, 41.15374);"3"
2024-01-05;"YJ";"Lleida - la Femosa";"Lleida";170;8,5;5.8;12.3;85;65;99;5,1;NA;NA;4.9;c(0.64172, 41.58462);"1"
2024-01-05;"YP";"Palafrugell";"Girona";36;10,7;7.9;12;85;52;100;2,1;NA;NA;1.3;c(3.16034, 41.90708);"5"
2024-01-06;"D5";"Barcelona - Observatori Fabra";"Barcelona";411;6,9;4.1;12.2;63;43;94;0;NA;NA;9.4;c(2.12379, 41.41864);"4"
2024-01-06;"WU";"Badalona - Museu";"Barcelona";42;10;6.1;15.4;54;27;81;0;NA;NA;9.4;c(2.24757, 41.45215);"2"
2024-01-06;"X1";"Falset";"Tarragona";359;5,9;2.9;10.8;74;49;88;0;NA;NA;5.8;c(0.81953, 41.15374);"3"
2024-01-06;"YJ";"Lleida - la Femosa";"Lleida";170;7,2;4.4;12.5;69;45;81;0;NA;NA;9.4;c(0.64172, 41.58462);"1"
2024-01-06;"YP";"Palafrugell";"Girona";36;10,6;7.7;14.2;45;32;56;0;NA;NA;9.2;c(3.16034, 41.90708);"5"
2024-01-07;"D5";"Barcelona - Observatori Fabra";"Barcelona";411;6,5;3;12.5;43;19;68;0;NA;NA;9.6;c(2.12379, 41.41864);"4"
2024-01-07;"WU";"Badalona - Museu";"Barcelona";42;9,5;5.9;14.3;36;16;58;0;NA;NA;9.7;c(2.24757, 41.45215);"2"
2024-01-07;"X1";"Falset";"Tarragona";359;5,5;1.6;10.4;62;34;84;0;NA;NA;9.4;c(0.81953, 41.15374);"3"
2024-01-07;"YJ";"Lleida - la Femosa";"Lleida";170;6,6;4;12.6;57;18;80;0;NA;NA;9.7;c(0.64172, 41.58462);"1"
2024-01-07;"YP";"Palafrugell";"Girona";36;8,7;3.7;13.1;43;23;67;0;NA;NA;9.3;c(3.16034, 41.90708);"5"
2024-01-08;"D5";"Barcelona - Observatori Fabra";"Barcelona";411;6;3.2;11.6;39;27;52;0;NA;NA;9.7;c(2.12379, 41.41864);"4"
2024-01-08;"WU";"Badalona - Museu";"Barcelona";42;7,5;4.2;12.1;43;25;63;0;NA;NA;9.7;c(2.24757, 41.45215);"2"
2024-01-08;"X1";"Falset";"Tarragona";359;4,1;0.8;9.9;66;39;85;0;NA;NA;9.5;c(0.81953, 41.15374);"3"
2024-01-08;"YJ";"Lleida - la Femosa";"Lleida";170;5,2;0.5;11.6;58;32;82;0;NA;NA;9.8;c(0.64172, 41.58462);"1"
2024-01-08;"YP";"Palafrugell";"Girona";36;7,6;3.8;12.9;41;25;60;0;NA;NA;9.3;c(3.16034, 41.90708);"5"
2024-01-09;"D5";"Barcelona - Observatori Fabra";"Barcelona";411;6,1;3.7;9.5;75;48;98;0;NA;NA;8.3;c(2.12379, 41.41864);"4"
2024-01-09;"WU";"Badalona - Museu";"Barcelona";42;7,6;3.5;10.6;67;49;79;0;NA;NA;7.4;c(2.24757, 41.45215);"2"
2024-01-09;"X1";"Falset";"Tarragona";359;5,4;0.6;11.2;68;41;85;0;NA;NA;7.5;c(0.81953, 41.15374);"3"
2024-01-09;"YJ";"Lleida - la Femosa";"Lleida";170;3,3;-2;9.2;70;42;91;0;NA;NA;8.4;c(0.64172, 41.58462);"1"
2024-01-09;"YP";"Palafrugell";"Girona";36;4,8;0.9;10.9;73;50;97;0;NA;NA;7.9;c(3.16034, 41.90708);"5"
2024-01-10;"D5";"Barcelona - Observatori Fabra";"Barcelona";411;6,7;5.7;8.2;91;76;100;4,9;NA;NA;1.9;c(2.12379, 41.41864);"4"
2024-01-10;"WU";"Badalona - Museu";"Barcelona";42;8,2;6.3;10.8;82;73;91;4,8;NA;NA;2.2;c(2.24757, 41.45215);"2"
2024-01-10;"X1";"Falset";"Tarragona";359;6,9;4.3;9.1;93;71;100;5;NA;NA;2.5;c(0.81953, 41.15374);"3"
2024-01-10;"YJ";"Lleida - la Femosa";"Lleida";170;5,4;4.3;7.7;82;64;98;5;NA;NA;1.9;c(0.64172, 41.58462);"1"
2024-01-10;"YP";"Palafrugell";"Girona";36;8,2;5.5;12;89;71;100;15;NA;NA;2.5;c(3.16034, 41.90708);"5"
2024-01-11;"D5";"Barcelona - Observatori Fabra";"Barcelona";411;5,6;3.9;10.4;83;63;100;0,1;NA;NA;7.1;c(2.12379, 41.41864);"4"
2024-01-11;"WU";"Badalona - Museu";"Barcelona";42;8,2;6.4;12.3;75;53;89;0,3;NA;NA;5.7;c(2.24757, 41.45215);"2"
2024-01-11;"X1";"Falset";"Tarragona";359;4,1;0.3;8.2;81;54;100;0;NA;NA;7.9;c(0.81953, 41.15374);"3"
2024-01-11;"YJ";"Lleida - la Femosa";"Lleida";170;3,6;-0.5;6.8;88;72;97;0;NA;NA;3.6;c(0.64172, 41.58462);"1"
2024-01-11;"YP";"Palafrugell";"Girona";36;6,8;5.6;8.4;78;61;100;0,1;NA;NA;3.7;c(3.16034, 41.90708);"5"
