"nom_estacio";"nom_contaminant";"valor";"month";"data";"longitud";"latitud"
"Girona (Escola de Música)";"PM10";38,18;"2024-01";2024-01-09;2,8165402;41,97630328
"Girona (Escola de Música)";"PM10";47,27;"2024-01";2024-01-15;2,8165402;41,97630328
"Girona (Escola de Música)";"PM10";30,91;"2024-01";2024-01-24;2,8165402;41,97630328
"Girona (Escola de Música)";"PM10";25,45;"2024-01";2024-01-01;2,8165402;41,97630328
"Girona (Escola de Música)";"PM10";18,73;"2024-01";2024-01-05;2,8165402;41,97630328
"Girona (Escola de Música)";"PM10";12,73;"2024-01";2024-01-07;2,8165402;41,97630328
"Girona (Escola de Música)";"PM10";25,45;"2024-01";2024-01-13;2,8165402;41,97630328
"Girona (Escola de Música)";"PM10";17,09;"2024-01";2024-01-17;2,8165402;41,97630328
"Girona (Escola de Música)";"PM10";9,64;"2024-01";2024-01-19;2,8165402;41,97630328
"Girona (Escola de Música)";"PM10";30,91;"2024-01";2024-01-21;2,8165402;41,97630328
"Girona (Escola de Música)";"PM10";32,73;"2024-01";2024-01-23;2,8165402;41,97630328
"Girona (Escola de Música)";"PM10";36,36;"2024-01";2024-01-25;2,8165402;41,97630328
"Girona (Escola de Música)";"PM10";12,55;"2024-01";2024-01-06;2,8165402;41,97630328
"Girona (Escola de Música)";"PM10";18,18;"2024-01";2024-01-08;2,8165402;41,97630328
"Girona (Escola de Música)";"PM10";8,82;"2024-01";2024-01-11;2,8165402;41,97630328
"Girona (Escola de Música)";"PM10";10;"2024-01";2024-01-18;2,8165402;41,97630328
"Girona (Escola de Música)";"PM10";19,64;"2024-01";2024-01-20;2,8165402;41,97630328
"Girona (Escola de Música)";"PM10";27,27;"2024-01";2024-01-22;2,8165402;41,97630328
"Girona (Escola de Música)";"PM10";22,18;"2024-01";2024-01-02;2,8165402;41,97630328
"Girona (Escola de Música)";"PM10";27,27;"2024-01";2024-01-10;2,8165402;41,97630328
"Girona (Escola de Música)";"PM10";22,18;"2024-01";2024-01-12;2,8165402;41,97630328
"Girona (Escola de Música)";"PM10";41,82;"2024-01";2024-01-14;2,8165402;41,97630328
"Girona (Escola de Música)";"PM10";43,64;"2024-01";2024-01-16;2,8165402;41,97630328
"Girona (Escola de Música)";"PM10";30,91;"2024-01";2024-01-31;2,8165402;41,97630328
"Badalona (Assemblea de Catalunya)";"PM10";24;"2024-02";2024-02-04;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";27;"2024-02";2024-02-09;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";35;"2024-02";2024-02-01;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";29;"2024-02";2024-02-03;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";28;"2024-02";2024-02-05;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";38;"2024-02";2024-02-07;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";13;"2024-02";2024-02-17;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";28;"2024-02";2024-02-19;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";24;"2024-02";2024-02-21;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";15;"2024-02";2024-02-23;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";33;"2024-02";2024-02-06;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";34;"2024-02";2024-02-08;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";8;"2024-02";2024-02-11;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";14;"2024-02";2024-02-18;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";28;"2024-02";2024-02-20;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";38;"2024-02";2024-02-22;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";28;"2024-02";2024-02-29;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";35;"2024-02";2024-02-02;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";12;"2024-02";2024-02-10;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";19;"2024-02";2024-02-28;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";13;"2024-03";2024-03-04;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";20;"2024-03";2024-03-09;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";53;"2024-03";2024-03-15;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";18;"2024-03";2024-03-24;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";18;"2024-03";2024-03-27;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";16;"2024-03";2024-03-01;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";7;"2024-03";2024-03-03;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";18;"2024-03";2024-03-05;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";31;"2024-03";2024-03-07;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";22;"2024-03";2024-03-13;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";24;"2024-03";2024-03-17;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";53;"2024-03";2024-03-19;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";29;"2024-03";2024-03-21;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";33;"2024-03";2024-03-23;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";16;"2024-03";2024-03-25;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";19;"2024-03";2024-03-06;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";18;"2024-03";2024-03-08;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";18;"2024-03";2024-03-11;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";41;"2024-03";2024-03-18;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";27;"2024-03";2024-03-20;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";40;"2024-03";2024-03-29;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";18;"2024-03";2024-03-02;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";7;"2024-03";2024-03-10;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";16;"2024-03";2024-03-12;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";9;"2024-03";2024-03-26;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";19;"2024-03";2024-03-14;2,24823024;41,45130205
