"nom_estacio";"contaminant";"valor";"month";"data";"longitud";"latitud"
"Lleida";"PM10";44;"2024-11";2024-11-01;0,6157005;41,615818
"Lleida";"PM10";48;"2024-11";2024-11-02;0,6157005;41,615818
"Lleida";"PM10";57;"2024-11";2024-11-03;0,6157005;41,615818
"Lleida";"PM10";61;"2024-11";2024-11-04;0,6157005;41,615818
"Girona (Escola de Música)";"PM10";31;"2024-11";2024-11-01;2,8165;41,97638
"Girona (Escola de Música)";"PM10";36;"2024-11";2024-11-02;2,8165;41,97638
"Girona (Escola de Música)";"PM10";32;"2024-11";2024-11-03;2,8165;41,97638
"Girona (Escola de Música)";"PM10";28;"2024-11";2024-11-04;2,8165;41,97638
"Manresa";"PM10";13;"2024-11";2024-11-01;1,8253003;41,730293
"Manresa";"PM10";13;"2024-11";2024-11-02;1,8253003;41,730293
"Manresa";"PM10";16;"2024-11";2024-11-03;1,8253003;41,730293
"Manresa";"PM10";16;"2024-11";2024-11-04;1,8253003;41,730293
"Vic";"PM10";18;"2024-11";2024-11-01;2,2400014;41,93501
"Vic";"PM10";17;"2024-11";2024-11-02;2,2400014;41,93501
"Vic";"PM10";11;"2024-11";2024-11-03;2,2400014;41,93501
"Vic";"PM10";15;"2024-11";2024-11-04;2,2400014;41,93501
"Vic";"PM10";16;"2024-11";2024-11-01;2,2400014;41,93501
"Vic";"PM10";16;"2024-11";2024-11-02;2,2400014;41,93501
"Vic";"PM10";14;"2024-11";2024-11-03;2,2400014;41,93501
"Vic";"PM10";15;"2024-11";2024-11-04;2,2400014;41,93501
"Vic";"PM10";14;"2024-11";2024-11-05;2,2400014;41,93501
"Vic";"PM10";11;"2024-11";2024-11-06;2,2400014;41,93501
"Vic";"PM10";12;"2024-11";2024-11-07;2,2400014;41,93501
"Vic";"PM10";11;"2024-11";2024-11-08;2,2400014;41,93501
"Vic";"PM10";9;"2024-11";2024-11-09;2,2400014;41,93501
"Vic";"PM10";10;"2024-11";2024-11-10;2,2400014;41,93501
"Vic";"PM10";9;"2024-11";2024-11-11;2,2400014;41,93501
"Vic";"PM10";11;"2024-11";2024-11-12;2,2400014;41,93501
"Vic";"PM10";13;"2024-11";2024-11-13;2,2400014;41,93501
"Vic";"PM10";14;"2024-11";2024-11-14;2,2400014;41,93501
"Vic";"PM10";16;"2024-11";2024-11-15;2,2400014;41,93501
"Vic";"PM10";20;"2024-11";2024-11-16;2,2400014;41,93501
"Vic";"PM10";18;"2024-11";2024-11-17;2,2400014;41,93501
"Vic";"PM10";17;"2024-11";2024-11-18;2,2400014;41,93501
"Vic";"PM10";17;"2024-11";2024-11-19;2,2400014;41,93501
"Vic";"PM10";18;"2024-11";2024-11-20;2,2400014;41,93501
"Vic";"PM10";17;"2024-11";2024-11-21;2,2400014;41,93501
"Vic";"PM10";17;"2024-11";2024-11-22;2,2400014;41,93501
"Vic";"PM10";21;"2024-11";2024-11-23;2,2400014;41,93501
"Vic";"PM10";15;"2024-11";2024-11-24;2,2400014;41,93501
